Ε01Α,Μεταμόσχευση ήπατος,28918,26
Ε03Α,Μεταμόσχευση  καρδιάς- πνευμόνων,50379,35
Ε04Α,Μεταμοσχεύσεις Πνευμόνων,30020,20
Ε05Α,Μεταμόσχευση Καρδιάς ,34280,40
Ε06Μ,Τραχειοστομία με μηχανική υποστήριξη αναπνοής > 95 ώρες με καταστροφικές συνυπάρχουσες  παθήσεις-επιπλοκές,39860,47
Ε06Χα,Τραχειοστομία με  μηχανική υποστήριξη αναπνοής > 95 ώρες χωρίς καταστροφικές συνυπάρχουσες  παθήσεις-επιπλοκές ή τραχειοστομία/(ή)μηχανική υποστήριξη αναπνοής > 95 ώρες με καταστροφικές συνυπάρχουσες  παθήσεις-επιπλοκές,20600,25
Ε06Χβ,Μηχανική υποστήριξη αναπνοής > 95 ώρες  χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,15550,16
Ε06Χγ,Τραχειοστομία χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,8260,15
Ε07Α,Αλλογενής μεταμόσχευση μυελού οστών,26510,34
Ε08Μ,Αυτόλογη μεταμόσχευση μυελού οστών με καταστροφικές συνυπάρχουσες παθήσεις- επιπλοκές,10020,24
Ε08Χ,Αυτόλογη μεταμόσχευση μυελού οστών χωρίς καταστροφικές συνυπάρχουσες παθήσεις- επιπλοκές,3680,10
Ε09Α,Μεταμόσχευση νεφρού+παγκρέατος ,15350,16
Ε09Β,Μεταμόσχευση νεφρού χωρίς μεταμόσχευση παγκρέατος ,9670,8
Ε09Γ,Μεταμόσχευση παγκρέατος,10710,15
Ε10Α,Εμφύτευση συσκευών κοιλιακής υποβοήθησης,94010,54
Ε11Μ,Τοποθέτηση εμφυτεύσιμων συσκευών έγχυσης  σπονδυλικής στήλης με  καταστροφικές συνυπάρχουσες παθήσεις- επιπλοκές,10700,15
Ε11Χ,Τοποθέτηση εμφυτεύσιμων συσκευών έγχυσης  σπονδυλικής στήλης  χωρίς  καταστροφικές συνυπάρχουσες παθήσεις- επιπλοκές,5300,6
Ε12Α,Εμφύτευση συσκευής νευροδιέγερσης,6410,3
Ε13Α,Εξωσωματική συσκευή οξυγόνωσης ECMO ,37060,31
Ν01Μ,Επανεπέμβαση κοιλιακής παροχεύτεσης με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,2530,7
Ν01Χ,Επανεπέμβαση κοιλιακής παροχεύτεσης χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,1980,5
Ν02Μα,Επεμβάσεις κρανίου με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,7730,18
Ν02Μβ,Επεμβάσεις κρανίου με σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,4720,11
Ν02Χ,Επεμβάσεις κρανίου χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,3840,7
Ν03Μ,Επεμβάσεις σπονδυλικής στήλης με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,5910,15
Ν03Χ,Επεμβάσεις σπονδυλικής στήλης χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,3990,5
Ν04Μ,Εξωκράνιες  αγγειοχειρουργικές επεμβάσεις με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,4270,12
Ν04Χ,Εξωκράνιες  αγγειοχειρουργικές επεμβάσεις χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,2470,4
Ν05Α,Αποσυμπίεση καρπιαίου σωλήνα,439000,1
Ν06Μ,"Επεμβάσεις για παράλυση προσωπικού νεύρου, μυϊκή δυστροφία, νευροπάθεια με συνυπάρχουσες παθήσεις - επιπλοκές ",3300,13
Ν06Χ,"Επεμβάσεις για παράλυση προσωπικού νεύρου, μυϊκή δυστροφία, νευροπάθεια χωρίς συνυπάρχουσες παθήσεις - επιπλοκές ",969000,2
Ν07Μ,Επεμβάσεις σε περιφερικά νεύρα και εγκεφαλικές συζυγίες και άλλες επεμβάσεις του νευρικού συστήματος με συνυπάρχουσες παθήσεις - επιπλοκές,2510,9
Ν07Χ,Επεμβάσεις σε περιφερικά νεύρα και εγκεφαλικές συζυγίες και άλλες επεμβάσεις του νευρικού συστήματος χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,1110,2
Ν10Α,"Πλασμαφαίρεση με νευρολογική νόσο-συμμετοχή, την ίδια ημέρα",163000,1
Ν11Α,Τηλεμετρικός έλεγχος-καταγραφή ηλεκτροεγκεφαλογραφήματος,1330,5
