          Τμήμα          | Ημερομηνία Βάρδιας | Τύπος Βάρδιας |   Τύπος Προσωπικού   |     Ειδικότητα / Ρόλος      | Αριθμός Προσωπικού 
-------------------------+--------------------+---------------+----------------------+-----------------------------+--------------------
 Αιματολογικό            | 2026-05-01         | ΠΡΩΙ          | Ιατρός               | Αιματολόγος                 |                  3
 Αιματολογικό            | 2026-05-01         | ΠΡΩΙ          | Νοσηλευτής           | Νοσηλευτής                  |                  4
 Αιματολογικό            | 2026-05-01         | ΠΡΩΙ          | Νοσηλευτής           | Προϊστάμενος                |                  1
 Αιματολογικό            | 2026-05-01         | ΠΡΩΙ          | Νοσηλευτής           | Βοηθός Νοσηλευτή            |                  1
 Αιματολογικό            | 2026-05-01         | ΠΡΩΙ          | Διοικητικό Προσωπικό | Υπάλληλος IT/Μηχανογράφησης |                  2
 Αιματολογικό            | 2026-05-01         | ΑΠΟΓΕΥΜΑ      | Ιατρός               | Αιματολόγος                 |                  3
 Αιματολογικό            | 2026-05-01         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Νοσηλευτής                  |                  2
 Αιματολογικό            | 2026-05-01         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Προϊστάμενος                |                  3
 Αιματολογικό            | 2026-05-01         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Βοηθός Νοσηλευτή            |                  1
 Αιματολογικό            | 2026-05-01         | ΑΠΟΓΕΥΜΑ      | Διοικητικό Προσωπικό | Γραμματέας                  |                  1
 Αιματολογικό            | 2026-05-01         | ΑΠΟΓΕΥΜΑ      | Διοικητικό Προσωπικό | Υπάλληλος Προμηθειών        |                  1
 Αιματολογικό            | 2026-05-01         | ΝΥΧΤΑ         | Ιατρός               | Αιματολόγος                 |                  3
 Αιματολογικό            | 2026-05-01         | ΝΥΧΤΑ         | Νοσηλευτής           | Νοσηλευτής                  |                  3
 Αιματολογικό            | 2026-05-01         | ΝΥΧΤΑ         | Νοσηλευτής           | Προϊστάμενος                |                  1
 Αιματολογικό            | 2026-05-01         | ΝΥΧΤΑ         | Νοσηλευτής           | Βοηθός Νοσηλευτή            |                  2
 Αιματολογικό            | 2026-05-01         | ΝΥΧΤΑ         | Διοικητικό Προσωπικό | Υπάλληλος IT/Μηχανογράφησης |                  2
 Αιματολογικό            | 2026-05-02         | ΠΡΩΙ          | Ιατρός               | Αιματολόγος                 |                  3
 Αιματολογικό            | 2026-05-02         | ΠΡΩΙ          | Νοσηλευτής           | Νοσηλευτής                  |                  3
 Αιματολογικό            | 2026-05-02         | ΠΡΩΙ          | Νοσηλευτής           | Προϊστάμενος                |                  2
 Αιματολογικό            | 2026-05-02         | ΠΡΩΙ          | Νοσηλευτής           | Βοηθός Νοσηλευτή            |                  1
 Αιματολογικό            | 2026-05-02         | ΠΡΩΙ          | Διοικητικό Προσωπικό | Υπάλληλος Μισθοδοσίας       |                  1
 Αιματολογικό            | 2026-05-02         | ΠΡΩΙ          | Διοικητικό Προσωπικό | Υπάλληλος Προμηθειών        |                  1
 Αιματολογικό            | 2026-05-02         | ΑΠΟΓΕΥΜΑ      | Ιατρός               | Αιματολόγος                 |                  3
 Αιματολογικό            | 2026-05-02         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Νοσηλευτής                  |                  6
 Αιματολογικό            | 2026-05-02         | ΑΠΟΓΕΥΜΑ      | Διοικητικό Προσωπικό | Γραμματέας                  |                  1
 Αιματολογικό            | 2026-05-02         | ΑΠΟΓΕΥΜΑ      | Διοικητικό Προσωπικό | Υπάλληλος IT/Μηχανογράφησης |                  1
 Αιματολογικό            | 2026-05-02         | ΝΥΧΤΑ         | Ιατρός               | Αιματολόγος                 |                  3
 Αιματολογικό            | 2026-05-02         | ΝΥΧΤΑ         | Νοσηλευτής           | Νοσηλευτής                  |                  5
 Αιματολογικό            | 2026-05-02         | ΝΥΧΤΑ         | Νοσηλευτής           | Προϊστάμενος                |                  1
 Αιματολογικό            | 2026-05-02         | ΝΥΧΤΑ         | Διοικητικό Προσωπικό | Ταμίας                      |                  1
 Αιματολογικό            | 2026-05-02         | ΝΥΧΤΑ         | Διοικητικό Προσωπικό | Υπεύθυνος Αρχείου           |                  1
 Αιματολογικό            | 2026-05-03         | ΠΡΩΙ          | Ιατρός               | Αιματολόγος                 |                  3
 Αιματολογικό            | 2026-05-03         | ΠΡΩΙ          | Νοσηλευτής           | Νοσηλευτής                  |                  4
 Αιματολογικό            | 2026-05-03         | ΠΡΩΙ          | Νοσηλευτής           | Βοηθός Νοσηλευτή            |                  2
 Αιματολογικό            | 2026-05-03         | ΠΡΩΙ          | Διοικητικό Προσωπικό | Υπάλληλος IT/Μηχανογράφησης |                  2
 Αιματολογικό            | 2026-05-03         | ΑΠΟΓΕΥΜΑ      | Ιατρός               | Αιματολόγος                 |                  3
 Αιματολογικό            | 2026-05-03         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Νοσηλευτής                  |                  2
 Αιματολογικό            | 2026-05-03         | ΑΠΟΓΕΥΜΑ      | Νοσηλευτής           | Προϊστάμενος                |                  4
