 Επίπεδο Επείγοντος | Συνολικά Περιστατικά | Μέσος Χρόνος Αναμονής | Ποσοστό Νοσηλειών (%) |    Τμήμα Παραπομπής     | Περιστατικά ανά Τμήμα 
--------------------+----------------------+-----------------------+-----------------------+-------------------------+-----------------------
 1                  |                  335 | 00:03:24.292404       |                100.00 | Καρδιολογικό            |                   101
 1                  |                  335 | 00:03:24.292404       |                100.00 | Παθολογικό              |                    64
 1                  |                  335 | 00:03:24.292404       |                100.00 | Ορθοπεδικό              |                    22
 1                  |                  335 | 00:03:24.292404       |                100.00 | Ογκολογικό              |                    17
 1                  |                  335 | 00:03:24.292404       |                100.00 | Παιδιατρικό             |                    16
 1                  |                  335 | 00:03:24.292404       |                100.00 | Νευρολογικό             |                    16
 1                  |                  335 | 00:03:24.292404       |                100.00 | Χειρουργικό             |                    13
 1                  |                  335 | 00:03:24.292404       |                100.00 | Δερματολογικό           |                    12
 1                  |                  335 | 00:03:24.292404       |                100.00 | Οφθαλμολογικό           |                    11
 1                  |                  335 | 00:03:24.292404       |                100.00 | Πνευμονολογικό          |                    10
 1                  |                  335 | 00:03:24.292404       |                100.00 | Αιματολογικό            |                    10
 1                  |                  335 | 00:03:24.292404       |                100.00 | Ψυχιατρικό              |                     9
 1                  |                  335 | 00:03:24.292404       |                100.00 | ΩΡΛ                     |                     9
 1                  |                  335 | 00:03:24.292404       |                100.00 | Μαιευτικό-Γυναικολογικό |                     9
 1                  |                  335 | 00:03:24.292404       |                100.00 | Ουρολογικό              |                     8
 1                  |                  335 | 00:03:24.292404       |                100.00 | ΜΕΘ (Εντατική)          |                     8
 2                  |                  321 | 00:12:13.826588       |                100.00 | Καρδιολογικό            |                    88
 2                  |                  321 | 00:12:13.826588       |                100.00 | Παθολογικό              |                    61
 2                  |                  321 | 00:12:13.826588       |                100.00 | Μαιευτικό-Γυναικολογικό |                    19
 2                  |                  321 | 00:12:13.826588       |                100.00 | ΜΕΘ (Εντατική)          |                    16
 2                  |                  321 | 00:12:13.826588       |                100.00 | Ορθοπεδικό              |                    16
 2                  |                  321 | 00:12:13.826588       |                100.00 | Ουρολογικό              |                    15
 2                  |                  321 | 00:12:13.826588       |                100.00 | Πνευμονολογικό          |                    15
 2                  |                  321 | 00:12:13.826588       |                100.00 | ΩΡΛ                     |                    14
 2                  |                  321 | 00:12:13.826588       |                100.00 | Αιματολογικό            |                    13
 2                  |                  321 | 00:12:13.826588       |                100.00 | Νευρολογικό             |                    13
 2                  |                  321 | 00:12:13.826588       |                100.00 | Χειρουργικό             |                    11
 2                  |                  321 | 00:12:13.826588       |                100.00 | Δερματολογικό           |                    10
 2                  |                  321 | 00:12:13.826588       |                100.00 | Ψυχιατρικό              |                    10
 2                  |                  321 | 00:12:13.826588       |                100.00 | Οφθαλμολογικό           |                     8
 2                  |                  321 | 00:12:13.826588       |                100.00 | Ογκολογικό              |                     8
 2                  |                  321 | 00:12:13.826588       |                100.00 | Παιδιατρικό             |                     4
 3                  |                  874 | 00:36:53.771327       |                 39.24 | Καρδιολογικό            |                    92
 3                  |                  874 | 00:36:53.771327       |                 39.24 | Παθολογικό              |                    68
 3                  |                  874 | 00:36:53.771327       |                 39.24 | Πνευμονολογικό          |                    21
 3                  |                  874 | 00:36:53.771327       |                 39.24 | Μαιευτικό-Γυναικολογικό |                    16
 3                  |                  874 | 00:36:53.771327       |                 39.24 | Ορθοπεδικό              |                    16
 3                  |                  874 | 00:36:53.771327       |                 39.24 | ΩΡΛ                     |                    14
 3                  |                  874 | 00:36:53.771327       |                 39.24 | ΜΕΘ (Εντατική)          |                    14
 3                  |                  874 | 00:36:53.771327       |                 39.24 | Αιματολογικό            |                    14
 3                  |                  874 | 00:36:53.771327       |                 39.24 | Παιδιατρικό             |                    13
 3                  |                  874 | 00:36:53.771327       |                 39.24 | Ουρολογικό              |                    13
 3                  |                  874 | 00:36:53.771327       |                 39.24 | Ψυχιατρικό              |                    12
 3                  |                  874 | 00:36:53.771327       |                 39.24 | Νευρολογικό             |                    12
 3                  |                  874 | 00:36:53.771327       |                 39.24 | Δερματολογικό           |                    12
 3                  |                  874 | 00:36:53.771327       |                 39.24 | Χειρουργικό             |                     9
 3                  |                  874 | 00:36:53.771327       |                 39.24 | Ογκολογικό              |                     9
 3                  |                  874 | 00:36:53.771327       |                 39.24 | Οφθαλμολογικό           |                     8
 4                  |                 1239 | 00:37:26.476491       |                  0.00 |                         |                      
 5                  |                  729 | 00:38:10.276914       |                  0.00 |                         |                      
(50 rows)

