          Τμήμα          | Έτος |      Ασφαλ. Φορέας       | Νοσηλείες | Συνολικά Έσοδα | Βασικό Κόστος | Χρέωση Υπέρβασης ΜΔΝ 
-------------------------+------+--------------------------+-----------+----------------+---------------+----------------------
 Αιματολογικό            | 2026 | Ανασφάλιστος             |         4 |       14567172 |       2120100 |             11939752
 Αιματολογικό            | 2026 | ΕΦΚΑ                     |         2 |        6249640 |        782640 |              5467000
 Αιματολογικό            | 2026 | Ιδιωτική (Interamerican) |         5 |        6159191 |       1606810 |              3332561
 Αιματολογικό            | 2026 | Ιδιωτική (Εθνική)        |         3 |        5417301 |       1723640 |              2728661
 Αιματολογικό            | 2026 | ΕΟΠΥΥ                    |         4 |          86889 |         42260 |                 2709
 Δερματολογικό           | 2026 | Ανασφάλιστος             |         7 |        8606304 |        908240 |              6176274
 Δερματολογικό           | 2026 | ΕΟΠΥΥ                    |         3 |        6280720 |        315370 |              5293350
 Δερματολογικό           | 2026 | Ιδιωτική (Εθνική)        |         4 |        5077262 |        411270 |              2588502
 Δερματολογικό           | 2026 | ΕΦΚΑ                     |         3 |        2954785 |          6290 |                 6445
 Δερματολογικό           | 2026 | Ιδιωτική (Interamerican) |         3 |        1753328 |         11740 |                 2268
 Καρδιολογικό            | 2026 | ΕΟΠΥΥ                    |        31 |       57341988 |       6782020 |             44701448
 Καρδιολογικό            | 2026 | Ανασφάλιστος             |        37 |       42901601 |       4208460 |             24058761
 Καρδιολογικό            | 2026 | Ιδιωτική (Interamerican) |        28 |       42463316 |       5577080 |             29688356
 Καρδιολογικό            | 2026 | Ιδιωτική (Εθνική)        |        25 |       32437154 |       6327310 |             20679414
 Καρδιολογικό            | 2026 | ΕΦΚΑ                     |        29 |       31574804 |       5671590 |             19938004
 Νευρολογικό             | 2026 | Ανασφάλιστος             |         5 |        7942761 |        943910 |              6817441
 Νευρολογικό             | 2026 | Ιδιωτική (Interamerican) |         4 |        5895486 |       1768360 |              4122106
 Νευρολογικό             | 2026 | ΕΦΚΑ                     |         1 |        3181220 |        389000 |              2139500
 Νευρολογικό             | 2026 | Ιδιωτική (Εθνική)        |         4 |        1844080 |          8470 |                40700
 Νευρολογικό             | 2026 | ΕΟΠΥΥ                    |         3 |         555310 |          6480 |                 8830
 Ογκολογικό              | 2026 | Ανασφάλιστος             |         7 |       20858300 |       2105010 |             16135640
 Ογκολογικό              | 2026 | Ιδιωτική (Interamerican) |         5 |       16351570 |       1482560 |             12825470
 Ογκολογικό              | 2026 | ΕΟΠΥΥ                    |         6 |        7809041 |        956030 |              4530791
 Ογκολογικό              | 2026 | ΕΦΚΑ                     |         1 |         923540 |        537000 |               383570
 Ογκολογικό              | 2026 | Ιδιωτική (Εθνική)        |         2 |         861834 |          6770 |                 1074
 Ορθοπεδικό              | 2026 | Ανασφάλιστος             |         5 |        8855651 |       2063950 |              3609961
 Ορθοπεδικό              | 2026 | Ιδιωτική (Interamerican) |         7 |        2558492 |        888860 |               673462
 Ορθοπεδικό              | 2026 | Ιδιωτική (Εθνική)        |         3 |         740470 |        714560 |                15440
 Ορθοπεδικό              | 2026 | ΕΟΠΥΥ                    |         6 |         507550 |         40670 |                13840
 Ορθοπεδικό              | 2026 | ΕΦΚΑ                     |         1 |           5760 |          1470 |                  840
 Ουρολογικό              | 2026 | Ιδιωτική (Interamerican) |         4 |       17755530 |       3065000 |             12602250
 Ουρολογικό              | 2026 | Ιδιωτική (Εθνική)        |         3 |        5477080 |        789040 |              2745040
 Ουρολογικό              | 2026 | Ανασφάλιστος             |         4 |        4710254 |       1102630 |              2381194
 Ουρολογικό              | 2026 | ΕΦΚΑ                     |         2 |        1694496 |        937130 |               757366
 Ουρολογικό              | 2026 | ΕΟΠΥΥ                    |         5 |        1476084 |        256780 |              1219304
 Οφθαλμολογικό           | 2026 | Ανασφάλιστος             |         1 |        3855000 |        771000 |              3084000
 Οφθαλμολογικό           | 2026 | Ιδιωτική (Interamerican) |         3 |        2021888 |        914520 |               469248
 Οφθαλμολογικό           | 2026 | ΕΦΚΑ                     |         2 |        1932671 |        483210 |              1447401
 Οφθαλμολογικό           | 2026 | ΕΟΠΥΥ                    |         2 |        1644006 |        887460 |                  546
 Οφθαλμολογικό           | 2026 | Ιδιωτική (Εθνική)        |         3 |         873296 |         31000 |                 3976
 Παθολογικό              | 2026 | Ανασφάλιστος             |        25 |       42279815 |       5039610 |             30358367
 Παθολογικό              | 2026 | ΕΦΚΑ                     |        22 |       39823528 |       5305108 |             28877530
 Παθολογικό              | 2026 | Ιδιωτική (Interamerican) |        20 |       35200276 |       4467330 |             27272756
 Παθολογικό              | 2026 | Ιδιωτική (Εθνική)        |        16 |       34233600 |       2991090 |             26398732
 Παθολογικό              | 2026 | ΕΟΠΥΥ                    |        23 |       31846421 |       5867870 |             18964111
 Παιδιατρικό             | 2026 | ΕΟΠΥΥ                    |         3 |        6935630 |       1582200 |              5340500
 Παιδιατρικό             | 2026 | Ιδιωτική (Interamerican) |         5 |        5934858 |       1187210 |              3143858
 Παιδιατρικό             | 2026 | ΕΦΚΑ                     |         1 |          49230 |         13160 |                    0
 Παιδιατρικό             | 2026 | Ανασφάλιστος             |         2 |          23730 |         23500 |                  230
 Παιδιατρικό             | 2026 | Ιδιωτική (Εθνική)        |         1 |           8070 |          5080 |                    0
 Πνευμονολογικό          | 2026 | Ιδιωτική (Interamerican) |         9 |       14895467 |       2058670 |             12824297
 Πνευμονολογικό          | 2026 | ΕΦΚΑ                     |         4 |        8681658 |        445910 |              8233358
 Πνευμονολογικό          | 2026 | ΕΟΠΥΥ                    |         4 |        6577410 |        756750 |              5185180
 Πνευμονολογικό          | 2026 | Ανασφάλιστος             |         5 |        4347947 |       1426270 |              2889447
 Πνευμονολογικό          | 2026 | Ιδιωτική (Εθνική)        |         4 |        1896074 |          8190 |                 7244
 Χειρουργικό             | 2026 | Ιδιωτική (Interamerican) |        10 |       22041025 |       1530930 |             18172455
 Χειρουργικό             | 2026 | ΕΦΚΑ                     |         2 |        1352190 |        341480 |              1008000
 Χειρουργικό             | 2026 | Ανασφάλιστος             |         4 |         864078 |         23060 |                 6878
 Χειρουργικό             | 2026 | Ιδιωτική (Εθνική)        |         3 |         648760 |        319850 |               316000
 Χειρουργικό             | 2026 | ΕΟΠΥΥ                    |         2 |         475372 |          7120 |                 1252
 Ψυχιατρικό              | 2026 | ΕΟΠΥΥ                    |         5 |        6789220 |        395760 |              3450020
 Ψυχιατρικό              | 2026 | ΕΦΚΑ                     |         3 |        6305618 |        353440 |              5952178
 Ψυχιατρικό              | 2026 | Ιδιωτική (Interamerican) |         3 |        2009236 |        992100 |              1003086
 Ψυχιατρικό              | 2026 | Ιδιωτική (Εθνική)        |         2 |         964064 |          2540 |                 2524
 Ψυχιατρικό              | 2026 | Ανασφάλιστος             |         3 |         357948 |          6790 |                 8548
 ΩΡΛ                     | 2026 | Ιδιωτική (Εθνική)        |         3 |       12837020 |       1904020 |             10933000
 ΩΡΛ                     | 2026 | ΕΦΚΑ                     |         7 |        4128272 |        935030 |              1829984
 ΩΡΛ                     | 2026 | Ανασφάλιστος             |         9 |        2879508 |       1020050 |               711388
 ΩΡΛ                     | 2026 | ΕΟΠΥΥ                    |         3 |          36042 |         32290 |                 3752
 ΩΡΛ                     | 2026 | Ιδιωτική (Interamerican) |         1 |           6512 |          1980 |                 2772
 ΜΕΘ (Εντατική)          | 2026 | ΕΟΠΥΥ                    |         5 |        5054814 |        453660 |              1783544
 ΜΕΘ (Εντατική)          | 2026 | Ιδιωτική (Interamerican) |         4 |        4097603 |        447600 |              2663563
 ΜΕΘ (Εντατική)          | 2026 | Ιδιωτική (Εθνική)        |         3 |        3045223 |        875370 |              1754683
 ΜΕΘ (Εντατική)          | 2026 | ΕΦΚΑ                     |         3 |        1672640 |         12610 |                 6820
 ΜΕΘ (Εντατική)          | 2026 | Ανασφάλιστος             |         5 |          40120 |         17190 |                20690
 Μαιευτικό-Γυναικολογικό | 2026 | ΕΟΠΥΥ                    |         9 |       10894821 |       2480718 |              6650753
 Μαιευτικό-Γυναικολογικό | 2026 | Ανασφάλιστος             |         5 |        6227683 |        768610 |              4557103
 Μαιευτικό-Γυναικολογικό | 2026 | Ιδιωτική (Εθνική)        |         3 |        6130724 |        495930 |              5304794
 Μαιευτικό-Γυναικολογικό | 2026 | Ιδιωτική (Interamerican) |         3 |        5547100 |        364720 |              2327000
 Μαιευτικό-Γυναικολογικό | 2026 | ΕΦΚΑ                     |         3 |        2227970 |        462540 |               234430
 Αιματολογικό            | 2025 | Ιδιωτική (Εθνική)        |         4 |       16692336 |        942270 |             15344026
 Αιματολογικό            | 2025 | Ιδιωτική (Interamerican) |         4 |        6061320 |        898930 |              4744580
 Αιματολογικό            | 2025 | ΕΦΚΑ                     |         4 |        2891852 |        432030 |              2427052
 Αιματολογικό            | 2025 | ΕΟΠΥΥ                    |         3 |         324461 |          6540 |                10351
 Αιματολογικό            | 2025 | Ανασφάλιστος             |         4 |          44140 |         26010 |                 1780
 Δερματολογικό           | 2025 | Ιδιωτική (Interamerican) |         6 |       13303560 |       1175410 |              9117790
 Δερματολογικό           | 2025 | Ανασφάλιστος             |         3 |        4798802 |        982770 |              3804872
 Δερματολογικό           | 2025 | ΕΦΚΑ                     |         2 |         773740 |          4000 |                 9540
 Δερματολογικό           | 2025 | ΕΟΠΥΥ                    |         2 |          34790 |          3280 |                28650
 Δερματολογικό           | 2025 | Ιδιωτική (Εθνική)        |         1 |           4100 |          2800 |                    0
 Καρδιολογικό            | 2025 | ΕΟΠΥΥ                    |        33 |       53488672 |       6584000 |             39580072
 Καρδιολογικό            | 2025 | Ανασφάλιστος             |        23 |       30255172 |       4383680 |             16892492
 Καρδιολογικό            | 2025 | ΕΦΚΑ                     |        26 |       26392689 |       4431650 |             16929489
 Καρδιολογικό            | 2025 | Ιδιωτική (Εθνική)        |        27 |       23657203 |       4749070 |             12356073
 Καρδιολογικό            | 2025 | Ιδιωτική (Interamerican) |        22 |       22931241 |       2679320 |             15078381
 Νευρολογικό             | 2025 | Ανασφάλιστος             |         9 |       10001724 |       1435350 |              6110026
 Νευρολογικό             | 2025 | Ιδιωτική (Εθνική)        |         5 |        5656970 |        889240 |              3145900
 Νευρολογικό             | 2025 | Ιδιωτική (Interamerican) |         3 |        2274788 |        416770 |              1856618
 Νευρολογικό             | 2025 | ΕΟΠΥΥ                    |         3 |        1364010 |          8110 |                 7510
 Νευρολογικό             | 2025 | ΕΦΚΑ                     |         4 |          18681 |          7430 |                 1561
 Ογκολογικό              | 2025 | ΕΟΠΥΥ                    |         3 |        6974528 |       1214000 |              4992998
 Ογκολογικό              | 2025 | Ιδιωτική (Interamerican) |         3 |        2676586 |        152580 |              2517686
 Ογκολογικό              | 2025 | ΕΦΚΑ                     |         3 |        2093770 |        240030 |              1848000
 Ογκολογικό              | 2025 | Ανασφάλιστος             |         2 |        1405165 |         10910 |                 5427
 Ογκολογικό              | 2025 | Ιδιωτική (Εθνική)        |         2 |           8934 |          7490 |                  194
 Ορθοπεδικό              | 2025 | Ανασφάλιστος             |        10 |       15971956 |       2262120 |             11741486
 Ορθοπεδικό              | 2025 | Ιδιωτική (Interamerican) |         7 |        6902722 |       1348730 |              4233102
 Ορθοπεδικό              | 2025 | ΕΟΠΥΥ                    |         2 |        6645230 |        931000 |              5707000
 Ορθοπεδικό              | 2025 | ΕΦΚΑ                     |         6 |        4668044 |       1642000 |              3009134
 Ορθοπεδικό              | 2025 | Ιδιωτική (Εθνική)        |         7 |        2694084 |       1200460 |              1130214
